timestamp,latency,cpu,memory,requests,errors,failure,latency_mean_5,latency_std_5,cpu_mean_5,memory_mean_5,error_rate_5,latency_trend,cpu_trend,latency_volatility,traffic_change,error_burst,health_score,service_auth,service_database,service_payment,service_search
2026-04-04 12:37:58.864419,349,75,65,106,0,0,314.4,23.362362894193733,79.4,64.6,0.0,50.0,-10.0,23.682154556637034,0.08163265306122458,0.0,-62.099999999999994,True,False,False,False
2026-04-04 12:37:59.864419,659,100,100,261,1,1,384.0,155.48311805466213,84.0,71.8,0.2,310.0,25.0,111.18797896655315,1.4622641509433962,1.0,-223.60000000000002,True,False,False,False
2026-04-04 12:38:00.864419,648,100,100,252,1,1,448.8,188.2822349559299,87.6,79.2,0.4,-11.0,0.0,145.95467332931366,-0.03448275862068961,2.0,-219.2,True,False,False,False
2026-04-04 12:38:01.864419,676,100,100,266,1,1,526.2,185.69518033594733,92.0,85.4,0.6,28.0,0.0,168.705166883926,0.05555555555555558,3.0,-230.40000000000003,True,False,False,False
2026-04-04 12:38:02.864419,648,100,100,273,1,1,596.0,138.5514344927543,95.0,93.0,0.8,-28.0,0.0,177.35341365007136,0.026315789473684292,4.0,-219.2,True,False,False,False
2026-04-04 12:38:03.864419,660,100,100,256,1,1,658.2,11.49782588144353,100.0,100.0,1.0,12.0,0.0,182.02811138209753,-0.06227106227106227,5.0,-224.0,True,False,False,False
2026-04-04 12:38:04.864419,645,100,100,264,1,1,655.4,12.876334882255613,100.0,100.0,1.0,-15.0,0.0,176.85778970058897,0.03125,6.0,-218.0,True,False,False,False
2026-04-04 12:38:05.864419,653,100,100,255,1,1,656.4,12.340988615179608,100.0,100.0,1.0,8.0,0.0,166.71812538933284,-0.03409090909090906,7.0,-221.2,True,False,False,False
2026-04-04 12:38:06.864419,1062,100,100,451,1,1,733.6,183.66899575050763,100.0,100.0,1.0,409.0,0.0,205.5899100420813,0.7686274509803921,8.0,-384.8,True,False,False,False
2026-04-04 12:38:07.864419,1026,100,100,462,1,1,809.2,214.7852415786522,100.0,100.0,1.0,-36.0,0.0,204.11118974171347,0.024390243902439046,9.0,-370.40000000000003,True,False,False,False
2026-04-04 12:38:08.864419,1023,100,100,444,1,1,881.8,213.08847927562857,100.0,100.0,1.0,-3.0,0.0,184.73644890912985,-0.038961038961038974,10.0,-369.20000000000005,True,False,False,False
2026-04-04 12:38:09.864419,1054,100,100,437,1,1,963.6,174.46289003682125,100.0,100.0,1.0,31.0,0.0,199.9668028004204,-0.015765765765765716,10.0,-381.6,True,False,False,False
2026-04-04 12:38:10.864419,1310,100,100,445,1,1,1095.0,121.38780828402818,100.0,100.0,1.0,256.0,0.0,245.05647875087448,0.01830663615560635,10.0,-484.0,True,False,False,False
2026-04-04 12:38:11.864419,1057,100,100,467,1,1,1094.0,121.74768991648253,100.0,100.0,1.0,-253.0,0.0,240.1267258021157,0.04943820224719109,10.0,-382.8,True,False,False,False
2026-04-04 12:38:12.864419,1029,100,100,455,1,1,1094.6,121.33548532890111,100.0,100.0,1.0,-28.0,0.0,222.87338209046962,-0.025695931477516032,10.0,-371.6,True,False,False,False
2026-04-04 12:38:13.864419,1113,100,100,485,1,1,1112.6,114.54387805552936,100.0,100.0,1.0,84.0,0.0,202.0119908432281,0.06593406593406592,10.0,-405.20000000000005,True,False,False,False
2026-04-04 12:38:14.864419,1142,100,100,491,1,1,1130.2,109.95771914695203,100.0,100.0,1.0,29.0,0.0,163.12943054860193,0.012371134020618513,10.0,-416.8,True,False,False,False
